City,Densità di popolazione (ab/km²),Costo della vita (€/mese),Trasporto pubblico (unità totali),Clima (range annuale),Punti di interesse turistici,Aeroporti principali,Livello di inquinamento (PM2.5),Età media (anni),Media eventi annuali,Importanza amministrativa,Primario,Secondario,Terziario,Quaternario
Cologne,2600,1900,900,-2°C / 24°C,10,1,11,39,500,Centro regionale,Limitato,Moderato,Dominante,Forte
Bochum,2800,1700,400,-2°C / 24°C,6,1,10,38,300,Centro regionale,Limitato,Moderato,Dominante,Forte
Stuttgart,3100,2200,700,-3°C / 25°C,10,1,11,40,500,Capitale regionale,Limitato,Moderato,Dominante,Forte
Hämeenlinna,300,1400,50,-10°C / 22°C,4,1,6,37,100,Centro regionale,Limitato,Moderato,Dominante,Moderato
London,5700,3000,9000,2°C / 24°C,30,5,14,36,2000,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Tampere,400,1600,150,-10°C / 22°C,6,1,7,38,200,Capitale regionale,Limitato,Moderato,Dominante,Moderato
Adelaide,400,1800,500,7°C / 29°C,8,1,8,39,300,Capitale regionale,Limitato,Moderato,Dominante,Forte
Melbourne,500,2200,1200,6°C / 26°C,15,1,10,37,600,Capitale regionale,Limitato,Moderato,Dominante,Forte
Tokyo,6300,2500,10000,5°C / 30°C,25,2,15,45,1500,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Jyväskylä,200,1400,50,-12°C / 21°C,4,1,6,36,100,Centro regionale,Limitato,Moderato,Dominante,Moderato
Perth,300,2000,600,8°C / 32°C,10,1,9,38,400,Capitale regionale,Limitato,Moderato,Dominante,Forte
Vantaa,800,1800,200,-10°C / 22°C,6,1,7,37,200,Città satellite,Limitato,Moderato,Dominante,Forte
Auckland,1200,2200,800,8°C / 24°C,12,1,9,37,500,Capitale regionale,Limitato,Moderato,Dominante,Forte
Osaka,12000,2000,5000,5°C / 33°C,20,2,14,42,1000,Hub economico,Limitato,Moderato,Dominante,Forte
Bordeaux,5000,1700,600,2°C / 26°C,10,1,12,39,400,Centro regionale,Limitato,Moderato,Dominante,Forte
Milan,7600,2200,1500,-1°C / 29°C,15,2,13,42,800,Hub economico,Limitato,Moderato,Dominante,Forte
Madrid,5400,1800,2000,3°C / 31°C,20,1,14,40,900,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Daejeon,2800,1500,500,-5°C / 30°C,8,1,12,38,300,Centro regionale,Limitato,Moderato,Dominante,Forte
Nantes,4500,1600,600,2°C / 25°C,10,1,11,38,400,Centro regionale,Limitato,Moderato,Dominante,Forte
Brussels,7300,2000,1000,-1°C / 23°C,15,1,13,40,600,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Marseille,3600,1700,800,3°C / 29°C,12,1,14,39,500,Centro regionale,Limitato,Moderato,Dominante,Forte
Leeds,1400,1600,400,-2°C / 22°C,6,1,9,37,300,Centro regionale,Limitato,Moderato,Dominante,Forte
Lahti,300,1400,50,-10°C / 22°C,4,1,6,36,100,Centro regionale,Limitato,Moderato,Dominante,Moderato
Dublin,4800,2200,800,2°C / 20°C,10,1,10,37,400,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Abu Dhabi,300,2500,500,15°C / 41°C,10,1,14,34,300,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Verona,1200,1600,200,-1°C / 28°C,6,1,11,40,250,Centro regionale,Limitato,Moderato,Dominante,Forte
Seoul,17000,2000,9000,-6°C / 30°C,25,2,20,42,1500,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Nice,4800,1800,600,5°C / 28°C,10,1,13,41,400,Centro regionale,Limitato,Moderato,Dominante,Forte
Tallinn,2000,1500,300,-6°C / 22°C,8,1,9,39,300,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Dubai,400,2500,500,14°C / 41°C,15,1,16,33,500,Hub economico,Limitato,Moderato,Dominante,Forte
Catania,1800,1200,200,8°C / 30°C,6,1,12,40,200,Centro regionale,Limitato,Moderato,Dominante,Forte
Bayreuth,600,1400,50,-4°C / 24°C,4,1,7,38,100,Centro regionale,Limitato,Moderato,Dominante,Moderato
Turin,7200,1600,800,-2°C / 28°C,10,1,13,42,400,Centro regionale,Limitato,Moderato,Dominante,Forte
Florence,3700,1800,500,2°C / 31°C,12,1,14,43,450,Centro regionale,Limitato,Moderato,Dominante,Forte
Birmingham,4200,1600,600,-2°C / 22°C,8,1,10,37,300,Centro regionale,Limitato,Moderato,Dominante,Forte
Budapest,3300,1400,1000,-3°C / 27°C,15,1,14,40,600,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Bari,2700,1200,300,5°C / 30°C,6,1,12,41,200,Centro regionale,Limitato,Moderato,Dominante,Forte
Bratislava,1200,1500,400,-3°C / 26°C,8,1,11,39,300,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Ljubljana,1200,1400,400,-3°C / 26°C,8,1,11,39,300,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Perugia,300,1200,100,1°C / 29°C,5,1,10,42,150,Centro regionale,Limitato,Moderato,Dominante,Moderato
Tel Aviv,8300,2500,800,10°C / 30°C,12,1,15,34,600,Hub economico,Limitato,Moderato,Dominante,Forte
Hong Kong,6800,2800,6000,15°C / 31°C,20,1,18,42,1000,Hub economico,Limitato,Moderato,Dominante,Forte
Barcelona,16000,2000,1500,5°C / 29°C,18,1,14,40,800,Centro regionale,Limitato,Moderato,Dominante,Forte
Ancona,800,1100,100,3°C / 28°C,5,1,9,41,100,Centro regionale,Limitato,Moderato,Dominante,Moderato
Lisbon,6000,1600,800,8°C / 28°C,12,1,11,40,500,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Prague,2600,1500,1000,-2°C / 24°C,15,1,12,41,600,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Rome,2200,1800,2000,3°C / 30°C,25,2,15,43,1000,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Shanghai,3800,2000,12000,2°C / 32°C,20,2,25,38,1200,Hub economico,Limitato,Moderato,Dominante,Forte
Kuala Lumpur,7000,1500,3000,24°C / 33°C,15,2,16,30,800,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Genova,2500,1400,500,5°C / 28°C,8,1,12,44,300,Centro regionale,Limitato,Moderato,Dominante,Forte
Naples,8200,1300,800,6°C / 30°C,12,1,14,42,400,Centro regionale,Limitato,Moderato,Dominante,Forte
Moscow,4900,1800,7000,-10°C / 24°C,20,3,18,40,1000,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Riga,2300,1200,500,-6°C / 22°C,8,1,10,39,300,Capitale nazionale,Limitato,Moderato,Dominante,Forte
Beijing,1300,2000,8000,-6°C / 30°C,25,2,22,37,1200,Capitale nazionale,Limitato,Moderato,Dominante,Forte
St Petersburg,3800,1500,5000,-9°C / 23°C,18,2,15,40,800,Centro regionale,Limitato,Moderato,Dominante,Forte
Calgary,1500,2200,600,-14°C / 23°C,8,1,9,37,400,Centro regionale,Limitato,Moderato,Dominante,Forte
Edmonton,1200,2000,500,-16°C / 24°C,6,1,8,36,300,Centro regionale,Limitato,Moderato,Dominante,Forte
