Città,Nome progetto 1,Nome proggetto 2,Ambito progetto 1,Costo progetto 1,N. Utenti progetto 1,Produttore progetto 1,Attivo / Non attivo progetto 1,Sito progetto 1,Ambito progetto 2,Costo progetto 2,N. Utenti progetto 2,Produttore progetto 2,Attivo / Non attivo progetto 2,Sito progetto 2
Oulu,,,,,,,,,,,,,,
Paris,AI-Driven Smart Traffic,Digital Citizen Engagement,Smart_Mobility,300000000,,Ville de Paris,Attivo,,Smart_Government,400000000,,Paris Digital Initiative,Sperimentale,
Perth,,,,,,,,,,,,,,
Perugia,,,,,,,,,,,,,,
Philadelphia,Smart Streetlights,AI-Based Public Security,Smart_Environment,140000000,,City of Philadelphia,Attivo,,Smart_Government,180000000,,University of Pennsylvania,Sperimentale,
Prague,,,,,,,,,,,,,,
Reykjavik,Smart Heating Grid,AI-Based Sustainable Mobility,Smart_Energy,100000000,,Reykjavik Energy,Non attivo,,Smart_Mobility,120000000,,City of Reykjavik,Sperimentale,
Riga,,,,,,,,,,,,,,
Rome,,,,,,,,,,,,,,
San Francisco,AI-Optimized Traffic Flow,Renewable Energy Storage,Smart_Mobility,250000000,,SFMTA,Attivo,,Smart_Energy,320000000,,PG&E,Sperimentale,
Seoul,,,,,,,,,,,,,,
Shanghai,,,,,,,,,,,,,,
Singapore,Autonomous Public Transit,Smart Grid for Sustainable Living,Smart_Mobility,200000000,,Land Transport Authority,Attivo,,Smart_Energy,500000000,,SP Group,Attivo,
St Petersburg,,,,,,,,,,,,,,
Stavanger,Smart Port Stavanger,Renewable Energy Optimization,Smart_Industry,90000000,,Port of Stavanger,Attivo,,Smart_Energy,160000000,,Lyse Energy,Sperimentale,
Stockholm,Smart Public Transport System,Sustainable Urban Energy Grid,Smart_Mobility,60000000,,SL (Storstockholms Lokaltrafik),Attivo,,Smart_Energy,250000000,,Vattenfall,Sperimentale,
Stuttgart,,,,,,,,,,,,,,
Sydney,Smart Urban Planning,AI-Based Public Safety,Smart_Environment,190000000,,City of Sydney,Attivo,,Smart_Government,250000000,,NSW Government,Non attivo,
Taipei,Intelligent Transport System,Smart Grid Development,Smart_Mobility,90000000,,Taipei DOT,Attivo,,Smart_Energy,200000000,,Taiwan Power Company,Non attivo,
Tallinn,,,,,,,,,,,,,,
Tampere,,,,,,,,,,,,,,
Tel Aviv,,,,,,,,,,,,,,
Tokyo,Intelligent Public Transport,Smart Water Recycling,Smart_Mobility,500000000,,Tokyo Metro,Attivo,,Smart_Environment,600000000,,Tokyo Water Authority,Non attivo,
Toronto,Autonomous Public Transport,AI-Based Housing Management,Smart_Mobility,85000000,,Metrolinx,Attivo,,Smart_Environment,190000000,,Sidewalk Labs,Non attivo,
Trondheim,Smart Energy Neighborhoods,Digital Public Services,Smart_Energy,80000000,,SINTEF,Attivo,,Smart_Government,70000000,,City of Trondheim,Sperimentale,
Turin,,,,,,,,,,,,,,
Turku,AI-Based Public Transport,Green Energy Transition,Smart_Mobility,60000000,,CTRL Turku,Attivo,,Smart_Energy,120000000,,Fortum,Non attivo,
Vancouver,Intelligent Traffic Management,AI-Powered Green Energy,Smart_Mobility,95000000,,Vancouver DOT,Sperimentale,,Smart_Energy,220000000,,BC Hydro,Attivo,
Vantaa,,,,,,,,,,,,,,
Västerås,Smart Grid Västerås,AI-Driven City Monitoring,Smart_Energy,60000000,,ABB,Attivo,,Smart_Government,80000000,,Mälardalen University,Sperimentale,
Verona,,,,,,,,,,,,,,
Vienna,Vienna Digital Twin,Renewable Energy Transition,Smart_Government,75000000,,TU Wien,Attivo,,Smart_Energy,180000000,,Wien Energie,Non attivo,
Washington,AI-Driven Public Transport,Smart Green Spaces,Smart_Mobility,110000000,,MetroSystem,Attivo,,Smart_Environment,190000000,,DC Green Infrastructure,Sperimentale,
Zurich,Smart Parking Management,AI-Driven Public Safety,Smart_Mobility,50000000,,Smart Zürich,Attivo,,Smart_Government,95000000,,ETH Zurich,Sperimentale,
